Object_ID,Object_Type,Material_Category,Origin_Name,Origin_Lat,Origin_Lon,Dest_Name,Dest_Lat,Dest_Lon,Prod_Start,Prod_End,Arrival_TAQ,Collection_Node,Historical_Evidence,Source_URL,Image_URL,Data_Status,Certainty_Score,Social_Life,Acquisition_Year_Historical,TAQ_Source
Franks.251.+,Wine-pot,Porcelain (Turquoise),"Jingdezhen, CN",29.2925,117.2023,"London, UK",51.5072,-0.1276,1662,1722,1753,British Museum,Bequeathed by Sir Hans Sloane (d. 1753).,https://www.britishmuseum.org/collection/object/A_Franks-251-,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_7/db89c2b8_507b_4b7c_ac4a_a3b70083b982/mid_00039299_001.jpg,Extant,2,Scientific Curiosity,,Historical
SLMisc.1057,Incense-burner,Arita ware (Japan),"Hizen, JP",33.186,129.8824,"London, UK",51.5072,-0.1276,1655,1679,1753,British Museum,Sloane via Daniel van Mildert (VOC network).,https://www.britishmuseum.org/collection/object/A_SLMisc-1057,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_22/da55e64e_d07c_4e53_a706_a3be01712f2c/mid_00475946_001.jpg,Extant,2,Scientific Curiosity,,Historical
AK-MAK-579,Kraak Bowl,Porcelain (Blue & White),"Jingdezhen, CN",29.2925,117.2023,"Amsterdam, NL",52.3676,4.9041,1600,1624,1624,Rijksmuseum,Kraak typology confirms maritime export.,https://id.rijksmuseum.nl/200106538,"https://iiif.micr.io/nUbGV/full/%5E320,/0/default.webp",Extant,1,Commercial Commodity,1941,Institutional (corrected to Prod_End)
Christies_Dragoon_Sea,Monumental Soldier Vase,Porcelain (Blue & White),"Jingdezhen, CN",29.2925,117.2023,"Oranienburg, DE",52.7533,13.2366,1662,1717,1717,Prussian Royal Collection,Maritime import before the 1717 exchange.,https://www.christies.com/en/lot/lot-6453621,https://www.christies.com/img/LotImages/2023/CKS/2023_CKS_21052_0008_000(a_pair_of_chinese_blue_and_white_soldier_vases_and_covers_qing_dynasty070207).jpg?maxwidth=2020&maxheight=1300,Extant,1,Aristocratic Collection,,Historical
Christies_Dragoon_Land,Monumental Soldier Vase,Porcelain (Blue & White),"Oranienburg, DE",52.7533,13.2366,"Dresden, DE",51.0504,13.7373,1662,1717,1717,SKD Dresden,1717 Diplomatic Exchange (600 soldiers for vases).,https://www.christies.com/en/lot/lot-6453621,https://www.christies.com/img/LotImages/2023/CKS/2023_CKS_21052_0008_000(a_pair_of_chinese_blue_and_white_soldier_vases_and_covers_qing_dynasty070207).jpg?maxwidth=2020&maxheight=1300,Extant,2,Diplomatic Currency,,Historical
NG-1977-113-W,Kraak Bowl,Porcelain,"Jingdezhen, CN",29.2925,117.2023,Saint Helena (Shipwreck),-15.965,-5.7089,1573,1613,1613,Rijksmuseum,Recovered from VOC ship 'Witte Leeuw' (sank 1613).,https://id.rijksmuseum.nl/20073581,"https://iiif.micr.io/yVDad/full/%5E830,/0/default.webp",Extant,1,Commercial / Collection,,Historical
NG-1977-117-W,Pot (Jar),Porcelain,"Jingdezhen, CN",29.2925,117.2023,Saint Helena (Shipwreck),-15.965,-5.7089,1573,1613,1613,Rijksmuseum,Recovered from VOC ship 'Witte Leeuw' (sank 1613).,https://id.rijksmuseum.nl/20028393,"https://iiif.micr.io/kdnqi/full/%5E600,/0/default.webp",Extant,1,Commercial / Collection,,Historical
NG-1977-115-W,Perzische fles (Flask),Kraakporselein (Porcelain),"Jingdezhen, CN",29.2925,117.2023,Saint Helena (Shipwreck),-15.965,-5.7089,1573,1613,1613,Rijksmuseum,Recovered from VOC ship 'Witte Leeuw' (sank 1613).,https://id.rijksmuseum.nl/20028387,"https://iiif.micr.io/DWkAG/full/%5E600,/0/default.webp",Extant,1,Commercial / Collection,,Historical
NG-1977-114-W,Vaas (Swatow),Porselein (Swatow ware),"Swatow (Zhangzhou), CN",24.3619,117.3113,Saint Helena (Shipwreck),-15.965,-5.7089,1573,1613,1613,Rijksmuseum,Recovered from VOC ship 'Witte Leeuw' (sank 1613).,https://id.rijksmuseum.nl/20028432,"https://iiif.micr.io/MUvrp/full/%5E600,/0/default.webp",Extant,1,Commercial / Collection,,Historical
NG-1977-118-W,Wijnbeker (Wine cup in iron),Porselein & IJzer,"Jingdezhen, CN",29.2925,117.2023,Saint Helena (Shipwreck),-15.965,-5.7089,1573,1613,1613,Rijksmuseum,Recovered from VOC ship 'Witte Leeuw' (sank 1613). Cup fused with iron.,https://id.rijksmuseum.nl/200109511,"https://iiif.micr.io/lzXeM/full/%5E600,/0/default.webp",Extant,1,Commercial / Collection,,Historical
